LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.99
Lattice spacing in x,y,z = 1.0050378 1.0050378 1.0050378
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.50251891) to (20.100756 20.100756 0.50251891)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.50251891) to (20.100756 20.100756 0.50251891)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         2.962575     
       500   3.3296522      1.6386465      0              4.9599746      31.951963    
      1000   3.033667       1.7248034      0              4.7508863      32.400348    
      1500   3.0395003      1.6210332      0              4.6529347      30.716258    
      2000   3.0385486      1.6749412      0              4.7058934      31.334074    
      2500   2.9690297      1.6394961      0              4.6011032      31.335588    
      3000   3.0008509      1.5226205      0              4.5159693      29.099415    
      3500   3.1293884      1.3994819      0              4.5210468      28.853536    
      4000   2.7598068      1.6478043      0              4.4007116      31.191016    
      4500   2.9112005      1.5901691      0              4.4940916      30.895734    
      5000   2.9401248      1.5672953      0              4.5000698      31.00967     
      5500   3.245377       1.5386178      0              4.7758814      30.989396    
      6000   3.2996496      1.7042934      0              4.9956939      32.061029    
      6500   3.1459275      1.3361737      0              4.4742364      27.341771    
      7000   3.0780185      1.4703097      0              4.5406332      29.721291    
      7500   3.0884329      1.6512823      0              4.7319941      31.513926    
      8000   3.0927837      1.5218774      0              4.6069291      30.440752    
      8500   3.1446195      1.7330311      0              4.869789       33.206788    
      9000   3.0425629      1.6277373      0              4.6626938      31.617279    
      9500   2.9229021      1.660206       0              4.5758009      31.886343    
     10000   2.9355497      1.5235396      0              4.4517504      30.247206    
     10500   2.9854362      1.4443489      0              4.4223216      28.866096    
     11000   3.1932569      1.6066164      0              4.7918902      31.803916    
     11500   3.3631237      1.5210653      0              4.8757812      30.69295     
     12000   3.1737326      1.6343568      0              4.8001551      31.14094     
     12500   2.8991129      1.7079267      0              4.5997919      32.049234    
     13000   3.0639244      1.4943807      0              4.5506453      29.666909    
     13500   3.1354162      1.3821991      0              4.5097767      28.388666    
     14000   3.001896       1.6716816      0              4.6660728      32.338568    
     14500   2.5811781      1.5007706      0              4.0754957      29.056476    
     15000   2.9940221      1.3166693      0              4.3032063      27.162407    
     15500   3.0996848      1.6673355      0              4.7592711      32.312338    
     16000   3.019591       1.5206864      0              4.5327284      29.575623    
     16500   2.9931135      1.576907       0              4.5625377      30.457246    
     17000   2.9242207      1.4459661      0              4.3628762      28.693912    
